geo_code,URB_CEDUC_TE1026V,URB_CLMA_EC1010V,URB_CLMA_EC1177V,URB_CPOP1_DE1001V,URB_CPOPCB_DE2009V,URB_CTRAN_TT1057I
ES089C,332.6666666666667,3647.5,26104.166666666668,50644.666666666664,15856.5,557.1366666666667
ES090C,1699.6666666666667,7697.0,17394.0,56660.333333333336,2129.8333333333335,469.9883333333333
ES091C,1375.8333333333333,4979.166666666667,41074.333333333336,95715.16666666667,23331.5,471.58500000000004
ES092C,3527.8333333333335,6610.166666666667,21842.666666666668,59424.333333333336,2862.6666666666665,496.90166666666664
ES093C,986.3333333333334,4866.5,26473.0,67429.5,10891.333333333334,499.56666666666666
ES094C,1538.8333333333333,3132.5,19308.333333333332,51398.166666666664,5295.166666666667,483.23
ES095C,633.3333333333334,5154.5,36060.333333333336,77717.33333333333,12172.333333333334,440.19166666666666
ES096C,951.0,7713.833333333333,25446.333333333332,67390.66666666667,11812.0,520.855
ES097C,801.8333333333334,4530.666666666667,25300.5,63294.666666666664,9237.0,490.01
ES098C,26144.166666666668,4472.833333333333,25044.5,58860.333333333336,6381.666666666667,452.9533333333334
FI001C,60636.833333333336,38034.333333333336,308544.3333333333,657007.7142857143,100745.28571428571,270.8828571428572
FI002C,32098.0,14490.833333333334,106432.0,242074.7142857143,19871.85714285714,367.42571428571426
FI003C,31643.833333333332,12267.166666666666,82949.33333333333,194750.42857142858,22407.14285714286,383.55571428571426
FI004C,22082.5,12730.5,87209.66666666667,207746.42857142858,11201.0,421.85
FI005C,23381.5,13561.666666666666,136313.66666666666,294519.0,50970.857142857145,366.3142857142857
FI006C,8004.333333333333,13882.333333333334,110254.0,235952.42857142858,44270.71428571428,377.1857142857143
FI007C,6245.5,8309.0,46187.666666666664,120032.28571428571,9076.0,434.2785714285714
FI008C,13573.833333333334,6393.666666666667,50309.333333333336,120646.14285714286,5428.0,433.4542857142857
FI009C,21809.666666666668,9562.666666666666,59467.333333333336,143631.2857142857,8365.0,422.1928571428571
FR001C,732823.8,631472.4,4526822.4,10290739.0,2602952.0,356.102
FR002C,174125.6,80523.0,530563.0,1281774.2,250104.6,431.71400000000006
FR003C,127299.4,73747.4,368818.4,958811.6,130420.4,450.968
FR004C,58160.4,63092.4,343301.8,970177.6,218192.2,422.67600000000004
FR005C,104128.8,47644.6,324147.4,754280.6,108237.8,523.062
FR006C,113826.8,52971.0,326093.8,753372.2,137839.6,524.202
FR007C,61787.2,32493.2,210123.2,491813.2,58849.4,501.28999999999996
FR008C,39009.0,27628.2,175277.4,465416.6,117586.4,440.446
